gene_id	adipose_tpm	other_tissues_median_tpm	fc	log2_fc	zscore	pval
ENSG00000100097.7	1649.5	370.8	4.44848975188781	2.15331562882676	2.74905084261753	0.00298840573007819
ENSG00000127528.5	212.7	48.175	4.41515308770109	2.14246346166495	2.73284663144521	0.00313947812615001
ENSG00000011600.7	136.65	30.955	4.41447262154741	2.14224109546741	2.7325145992558	0.00314264429326394
ENSG00000198363.11	85.115	19.375	4.39303225806452	2.13521709318866	2.72202651752037	0.00324414679473883
ENSG00000173369.11	170.1	38.86	4.37725167267113	2.1300253349654	2.71427430127168	0.00332105716246556
ENSG00000004399.8	102	23.335	4.37111634883223	2.12800177978208	2.71125277432499	0.00335147528217339
ENSG00000204287.9	796.8	182.5	4.36602739726027	2.12632118341334	2.70874334574281	0.00337692815806889
ENSG00000100504.12	92.05	21.085	4.36566279345506	2.12620069995814	2.7085634425657	0.00337875955435119
ENSG00000149131.11	909.1	209	4.34976076555024	2.12093605570954	2.70070239454836	0.0034596611321448
ENSG00000204262.7	67.65	15.645	4.32406519654842	2.11238827562298	2.68793904216795	0.00359472599569099
ENSG00000111961.12	101.25	23.495	4.30942753777399	2.1074962351456	2.68063435769553	0.003674137944772
ENSG00000139329.4	181.5	42.29	4.29179475053204	2.10158108274167	2.67180198557664	0.00377225768245237
ENSG00000142178.7	152.3	35.565	4.28230001405877	2.09838587317149	2.66703097073296	0.00382623097957568
ENSG00000184371.9	91.11	21.315	4.27445460942998	2.09574035392468	2.66308074107869	0.00387144164743169
ENSG00000142910.11	152.65	35.795	4.26456208967733	2.09239760473542	2.65808942340442	0.00392925192102678
ENSG00000162576.12	238.4	55.92	4.26323319027182	2.09194796997409	2.65741803892292	0.0039370867269386
ENSG00000204103.2	64.445	15.145	4.25519973588643	2.08922685252458	2.65335492773794	0.00398480102974175
ENSG00000164687.6	126.7	29.8775	4.2406493180487	2.0842851837053	2.64597613934505	0.00407277809296047
ENSG00000173267.9	180.85	42.65	4.24032825322391	2.08417595133748	2.6458130360378	0.00407474225591198
ENSG00000129538.9	498.7	118.25	4.21733615221987	2.07633201943836	2.63410065389149	0.00421802377771263
ENSG00000115380.14	201.2	47.7225	4.21604065168422	2.07588877772002	2.63343881535757	0.00422625316602154
ENSG00000080573.6	97.475	23.185	4.20422687082165	2.07184052291047	2.62739405260786	0.00430208155029033
ENSG00000203883.5	76.18	18.135	4.20071684587814	2.07063554259306	2.62559480318324	0.00432488588514612
ENSG00000204257.10	115.45	27.5025	4.19780019998182	2.06963350122866	2.62409857762478	0.00434393180435122
ENSG00000142798.12	129.75	31	4.18548387096774	2.06539441797101	2.61776887414161	0.00442533651470145
ENSG00000114480.8	74.245	17.83	4.16404935501963	2.05798716849806	2.60670853634218	0.00457085693777137
ENSG00000010327.6	139.35	33.55	4.15350223546945	2.05432833090363	2.60124524259251	0.00464430128752291
ENSG00000170458.9	92.985	22.6525	4.10484493985211	2.03732772535715	2.57586032193798	0.00499955149998232
ENSG00000113140.6	1478	360.25	4.10270645385149	2.0365759339714	2.57473776400181	0.00501580558745551
ENSG00000167779.3	291.1	71.31	4.08217641284532	2.02933853034654	2.56393103619086	0.00517470529903774
ENSG00000179344.12	77.55	19.035	4.07407407407407	2.02647221136119	2.55965111334842	0.0052388646096112
ENSG00000101384.7	84.29	20.6925	4.07345656638879	2.0262535254019	2.55932457640774	0.00524378858180474
ENSG00000181019.8	67.81	16.6625	4.06961740435109	2.02489316923585	2.55729332327134	0.00527451117346911
ENSG00000116717.7	136.6	33.8025	4.04112121884476	2.01475562774094	2.5421561750223	0.0055085467143865
ENSG00000173482.12	75.095	18.585	4.04062415926823	2.01457816474169	2.54189119127553	0.00551272452683182
ENSG00000197702.7	81.61	20.3575	4.00884195014123	2.00318553990269	2.52487998089281	0.00578689041908009
ENSG00000129757.8	116.1	29.0625	3.99483870967742	1.99813725598281	2.51734199723702	0.00591219956398448
ENSG00000126561.12	85.865	21.595	3.97615188701088	1.9913728681809	2.50724156598129	0.00608387615938122
ENSG00000136235.11	141.85	35.7775	3.96478233526658	1.98724166480663	2.50107294630613	0.00619088360509845
ENSG00000072163.14	91.115	23.005	3.96066072592915	1.98574112386734	2.49883237242901	0.00623016174873259
ENSG00000123384.9	225.95	57.38	3.93778319972116	1.9773836837897	2.48635323145571	0.00645298963459151
ENSG00000067082.10	242.25	61.5475	3.93598440229091	1.97672450350689	2.48536895832907	0.00647086122654728
ENSG00000168994.9	161.2	40.9775	3.93386614605576	1.97594786923136	2.48420930555034	0.00649197338600738
ENSG00000111077.13	339.25	86.415	3.92582306312562	1.97299515199319	2.47980037478601	0.00657279780337761
ENSG00000151468.9	78.195	20.15	3.88064516129032	1.95629652190184	2.45486635706825	0.00704684865963556
ENSG00000035862.8	528.2	136.225	3.87740869884382	1.95509281059057	2.45306900249496	0.00708215825101155
ENSG00000071967.7	268.75	69.7525	3.8529084979033	1.94594792407463	2.43941406426544	0.00735555058333415
ENSG00000150907.6	65.275	16.945	3.85216878135143	1.94567091571621	2.43900044163417	0.00736397512885023
ENSG00000101000.4	82.83	21.625	3.83028901734104	1.93745325589778	2.42673001739036	0.00761779448679956
ENSG00000174307.5	183.15	47.845	3.82798620545512	1.93658563093226	2.42543449936618	0.00764503731112953
ENSG00000185551.8	99.565	26.05	3.82207293666027	1.93435530954354	2.4221042337864	0.00771546187224015
ENSG00000025708.8	139.5	36.7025	3.80083100606226	1.92631488099152	2.41009844727113	0.00797410822569322
ENSG00000214063.6	105.65	28.0425	3.76749576535616	1.91360589024298	2.39112166901055	0.00839849274097948
ENSG00000082781.7	155.55	41.61	3.73828406633021	1.90237620137699	2.37435375094675	0.0087898494586609
ENSG00000122756.10	65.61	17.565	3.73526900085397	1.90121214454688	2.3726156075501	0.00883131737789811
ENSG00000115594.7	112.55	30.19	3.72805564756542	1.89842339482789	2.36845150938617	0.00893136088198443
ENSG00000100979.10	231	62.0625	3.72205438066465	1.89609913388768	2.36498097538746	0.00901549857347406
ENSG00000223953.3	84.755	22.79	3.71895568231681	1.89489755588679	2.3631868062251	0.00905926701709647
ENSG00000019582.10	1396.5	376.55	3.70867082724738	1.89090222336195	2.35722106583697	0.00920614106222373
ENSG00000182718.12	474.2	127.95	3.70613520906604	1.88991551544256	2.35574773583266	0.00924273318306934
ENSG00000131981.11	538.45	145.55	3.69941600824459	1.88729754411823	2.35183864011472	0.00934043835786658
ENSG00000109099.9	420.4	113.7	3.69744942832014	1.88653041506993	2.35069318032686	0.00936923899244635
ENSG00000147526.15	116.05	31.45	3.68998410174881	1.88361460046519	2.34633935174221	0.00947941857229839
ENSG00000169908.6	132.15	35.825	3.68876482903001	1.88313781537942	2.3456274270088	0.00949754216809795
ENSG00000117289.7	2460.5	667.7	3.68503819080425	1.88167957112452	2.34345000958655	0.00955316124427685
ENSG00000197747.4	538.95	147	3.66632653061225	1.87433528099959	2.33248368126516	0.00983763020763861
ENSG00000258818.2	223.05	60.9125	3.66180997332239	1.87255692558126	2.32982828107564	0.00990761439475107
